año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2016,Paraguay,1.42498352233719,5759.01833315657,5.25,73.534,98.4
2016,Uruguay,0.32121688556848,16837.9403803049,7.84,77.571,99.7
2016,Ecuador,1.49338987255655,6079.08873612077,4.6,76.763,98.7
2016,Peru,1.36122543775229,6163.86117862599,3.74,75.789,94.2
2016,Chile,1.18906102612278,13785.6875977318,6.73,80.079,100.0
2016,Argentina,1.05718157762752,12790.2640639201,8.109,76.308,99.8997421264648
2016,Brazil,0.8112564782781,8680.73542054827,11.74,74.442,99.7
2016,Colombia,1.068611890834,5936.26102166829,8.69,76.471,98.4
2017,Costa Rica,0.978713315995535,12118.1336180615,7.73,79.377,99.6
2017,United States,0.63264399508256,59907.754260885,4.36,78.5390243902439,100.0
2017,Mexico,1.08042073770937,9434.37817948243,3.42,74.138,100.0
2017,Canada,1.19952071057872,45129.4292980922,6.34,81.8329268292683,100.0
2017,Bolivia,1.52010888105833,3280.0082139387,3.65,67.701,91.8
2017,"Venezuela, RB",-0.580806784389088,15975.7293753361,5.05,71.943,99.2
2017,Paraguay,1.40691381584073,6136.05835430284,4.61,73.644,99.3
2017,Uruguay,0.24675383930737,18995.3970195554,7.89,77.625,99.8
2017,Ecuador,1.55335626648726,6246.40425217932,3.84,76.972,99.2
2017,Peru,1.50694618507609,6676.3077877014,3.69,75.879,94.8
2017,Chile,1.56205545588869,15045.5278507601,6.95,80.35,99.7
2017,Argentina,1.03713389686514,14613.035714704,8.35,76.833,100.0
2017,Brazil,0.79226340042227,9896.7175109967,12.93,74.827,99.8
2017,Colombia,1.51228960592288,6449.97098726073,8.87,76.646,98.5
2018,Costa Rica,0.934615300864476,12383.1499469519,9.01,79.484,99.7
2018,United States,0.526435395564053,62823.309438197,3.9,78.6390243902439,100.0
2018,Mexico,0.951668643927897,9857.00748742213,3.27,74.015,99.5
2018,Canada,1.41245586917998,46547.7951820036,5.83,81.8439024390244,100.0
2018,Bolivia,1.48747419672442,3471.0069506501,3.52,67.748,92.8
2018,"Venezuela, RB",-2.44354322482875,15975.7293753361,5.02,71.979,99.8781967163086
2018,Paraguay,1.37397022115058,6242.96150239538,6.22,73.568,99.6
